ENSG00000187634	SAMD11	Gene Expression
ENSG00000188976	NOC2L	Gene Expression
ENSG00000187961	KLHL17	Gene Expression
ENSG00000187583	PLEKHN1	Gene Expression
ENSG00000187642	PERM1	Gene Expression
ENSG00000188290	HES4	Gene Expression
ENSG00000187608	ISG15	Gene Expression
ENSG00000188157	AGRN	Gene Expression
ENSG00000237330	RNF223	Gene Expression
ENSG00000131591	C1orf159	Gene Expression
ENSG00000162571	TTLL10	Gene Expression
ENSG00000186891	TNFRSF18	Gene Expression
ENSG00000186827	TNFRSF4	Gene Expression
ENSG00000078808	SDF4	Gene Expression
ENSG00000176022	B3GALT6	Gene Expression
ENSG00000184163	C1QTNF12	Gene Expression
ENSG00000160087	UBE2J2	Gene Expression
ENSG00000162572	SCNN1D	Gene Expression
ENSG00000131584	ACAP3	Gene Expression
ENSG00000169972	PUSL1	Gene Expression
ENSG00000127054	INTS11	Gene Expression
ENSG00000224051	CPTP	Gene Expression
ENSG00000169962	TAS1R3	Gene Expression
ENSG00000107404	DVL1	Gene Expression
ENSG00000162576	MXRA8	Gene Expression
ENSG00000175756	AURKAIP1	Gene Expression
ENSG00000221978	CCNL2	Gene Expression
ENSG00000235098	ANKRD65	Gene Expression
ENSG00000205116	TMEM88B	Gene Expression
ENSG00000179403	VWA1	Gene Expression
ENSG00000215915	ATAD3C	Gene Expression
ENSG00000160072	ATAD3B	Gene Expression
ENSG00000197785	ATAD3A	Gene Expression
ENSG00000205090	TMEM240	Gene Expression
ENSG00000160075	SSU72	Gene Expression
ENSG00000228594	FNDC10	Gene Expression
ENSG00000197530	MIB2	Gene Expression
ENSG00000189409	MMP23B	Gene Expression
ENSG00000248333	CDK11B	Gene Expression
ENSG00000008128	CDK11A	Gene Expression
ENSG00000008130	NADK	Gene Expression
ENSG00000078369	GNB1	Gene Expression
ENSG00000169885	CALML6	Gene Expression
ENSG00000178821	TMEM52	Gene Expression
ENSG00000142609	CFAP74	Gene Expression
ENSG00000187730	GABRD	Gene Expression
ENSG00000067606	PRKCZ	Gene Expression
ENSG00000162585	FAAP20	Gene Expression
